Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C100nF","C_0805_2012Metric",174.250000,-93.000000,0.000000,top
"C2","C4.7uF","C_1206_3216Metric",188.975000,-98.200000,180.000000,top
"C3","C1uF","C_0805_2012Metric",127.500000,-93.500000,180.000000,top
"C4","C22pF","C_0402_1005Metric",136.000000,-94.000000,90.000000,top
"C5","C22pF","C_0402_1005Metric",130.000000,-94.000000,90.000000,top
"C6","C100nF","C_0805_2012Metric",188.500000,-100.500000,180.000000,top
"C7","C1uF","C_0805_2012Metric",127.500000,-96.000000,180.000000,top
"C8","C22pF","C_0402_1005Metric",167.800000,-107.500000,90.000000,top
"C9","C100nF","C_0805_2012Metric",188.950000,-108.500000,180.000000,top
"C10","C22pF","C_0402_1005Metric",175.400000,-107.500000,270.000000,top
"C11","C4.7uF","C_1206_3216Metric",189.575000,-106.100000,180.000000,top
"C12","C100nF","C_0805_2012Metric",179.500000,-105.000000,0.000000,top
"C13","C1uF","C_0805_2012Metric",129.000000,-107.500000,270.000000,top
"C14","C1uF","C_0805_2012Metric",142.000000,-92.500000,0.000000,top
"C15","C1uF","C_0805_2012Metric",133.500000,-108.500000,180.000000,top
"C16","C1uF","C_0805_2012Metric",148.500000,-102.500000,0.000000,top
"C17","C1uF","C_0805_2012Metric",148.500000,-100.355001,0.000000,top
"C18","C10nF","C_0805_2012Metric",197.500000,-90.000000,90.000000,top
"C19","C100nF","C_0805_2012Metric",193.500000,-83.000000,90.000000,top
"C21","C0.47uF","C_0805_2012Metric",184.000000,-92.000000,90.000000,top
"C22","C100nF","C_0805_2012Metric",198.500000,-95.000000,0.000000,top
"C23","C100nF","C_0805_2012Metric",198.500000,-93.000000,0.000000,top
"D1","LED","LED_0805_2012Metric",148.000000,-83.500000,270.000000,top
"R1","R10k","R_0603_1608Metric",164.800000,-93.200000,90.000000,top
"R2","R10k","R_0603_1608Metric",166.800000,-93.200000,90.000000,top
"R3","R10k","R_0603_1608Metric",151.575000,-88.600000,0.000000,top
"R4","R1k","R_0603_1608Metric",139.000000,-107.500000,90.000000,top
"R5","R330","R_0603_1608Metric",153.000000,-102.500000,180.000000,top
"R6","R330","R_0603_1608Metric",153.000000,-100.500000,180.000000,top
"R7","R1k","R_0603_1608Metric",139.500000,-93.500000,270.000000,top
"R8","R1k","R_0603_1608Metric",138.000000,-93.500000,270.000000,top
"R9","R1k","R_0603_1608Metric",136.000000,-107.500000,90.000000,top
"R10","R1k","R_0603_1608Metric",137.500000,-107.500000,90.000000,top
"R11","R200mOHM","R_1206_3216Metric",191.000000,-83.500000,90.000000,top
"R12","R200mOHM","R_1206_3216Metric",187.500000,-83.500000,90.000000,top
"R13","R330","R_0603_1608Metric",148.000000,-86.500000,180.000000,top
"R14","R1k","R_0603_1608Metric",164.750000,-98.000000,270.000000,top
"R15","R1k","R_0603_1608Metric",179.400000,-95.800000,270.000000,top
"U2","ATmega328-AU","TQFP-32_7x7mm_P0.8mm",171.500000,-99.500000,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",196.500000,-108.500000,0.000000,top
"Y1","Crystal_25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",133.000000,-93.500000,0.000000,top
"Y3","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",171.600000,-107.400000,180.000000,top
