Comment,Designator,Footprint,LCSC Part Number
"C100nF","C1,C6,C9,C12,C19,C22,C23","Capacitor_SMD:C_0805_2012Metric","C49678"
"C1uF","C3,C7,C13,C14,C15,C16,C17","Capacitor_SMD:C_0805_2012Metric","C28323"
"C10nF","C18","Capacitor_SMD:C_0805_2012Metric","C1710"
"C4.7uF","C2,C11","Capacitor_SMD:C_1206_3216Metric","C29823"
"C0.47uF","C21","Capacitor_SMD:C_0805_2012Metric","C13967"
"C22pF","C4,C5,C8,C10","Capacitor_SMD:C_0402_1005Metric","C1555"
"LED","D1","LED_SMD:LED_0805_2012Metric","C84256"
"HR911105A","J6","modules:HANRUN_HR911105A","C12074"
"R10k","R1,R2,R3","Resistor_SMD:R_0603_1608Metric","C25804"
"R200mOHM","R11,R12","Resistor_SMD:R_1206_3216Metric","C25335"
"R330","R5,R6,R13","Resistor_SMD:R_0603_1608Metric","C23138"
"R1k","R4,R7,R8,R9,R10,R14,R15","Resistor_SMD:R_0603_1608Metric","C21190"
"R_POT_10K","RV1","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","C118954"
"ATmega328-AU","U2","Package_QFP:TQFP-32_7x7mm_P0.8mm","C14877"
"DRV8825PWPR","U3","modules:IC_TPS61196PWPRQ1","C81582"
"AMS1117-3.3","U4","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"Crystal_25MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9006"
"Crystal","Y3","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
